autorstvo,titul,rok,pocet_stran
"Kejřová, Anuše",Různé úsporné kuchařské předpisy pro praktické používání stolních margarínových specialit Sana a Axa k úpravě chutných jemných a při tom levných různých pokrmů,1920,30
,Nová kuchařka,1920,32
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1921,220
,Kuchařská kniha,1921,511
"Donský, A.",Vegetarianská kuchyně,1921,244
"Holubová, M.",Kuchařka České dívky,1921,80
"Kejřová, Anuše",Úsporná kuchařka,1921,208
"Kolátorová, Lydia",Bramborová kuchyně,1921,48
"Orlová, Marie",Praktická česká kuchařka a hospodyňka,1921,240
"Rettigová, Magdalena Dobromila",Praktická kuchařka,1921,1
"Rettigová, Magdalena Dobromila",Praktická kuchařka,1921,374
,Velká illustrovaná kuchařka,1921,732
,Kuchařské recepty v nichž se používá delikatesního margarinu Vitello,1921,32
,Praktická kuchařka pro českou domácnost,1922,459
"Ha'nish, Otoman Zar-Adusht",Mazdaznanská dietetika a kuchařka,1922,232
"Hapalová, Katuše",Kuchařka československé hospodyně,1922,231
"Kejřová, Anuše",Minutové večeře,1922,46
"Barthová, Ludmila",První česká vegetářská kuchařka,1922,192
"Jírová, Květoslava",Česká kuchyně,1922,148
"Minařík, František Kliment",Večeře Páně,1922,384
,O polévkách,1922,69
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1922,471
"Rozmarová, Olga Růžena",Česká kuchyně,1922,357
"Posnerová, Iška",Cukrářská příručka pro domácnost,1922,100
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1923,674
"Ha'nish, Otoman Zar-Adusht",Mazdaznanská dietetika a kuchařka,1923,238
"Kejřová, Anuše",Dělnická kuchařka,1923,147
"Hák, Jaroslav",Ovoce a jeho zpracování v domácnostech,1923,76
"Jermářová, Marie",Česká kuchařka,1923,286
,Praktické pokyny a recepty pro cukráře,1923,341
"Voborská, Helena",Pravá česká kuchařka,1923,127
,Dra Oetkera předpisy pro hospodyni,1923,68
,Dr Oetker - Rezepte für die Hausfrauen,1923,63
"Seidlová, Anastasie B.",Kuchařka Lady,1924,191
"Seidlová, Anastasie B.",Úprava pokrmů pro nemocné kornatěním cév a různé rady zdravotní,1924,76
"Kejřová, Anuše",Úsporná kuchařka,1924,295
,Nakládání zavařování a používání všeho ovoce i zeleniny,1924,424
"Heranová, Sláva",Poklad české hospodyně,1924,150
"Triwaldová, Gabriela",Česká národní kuchařka,1924,193
"Voborská, Helena",Pravá česká kuchařka,1924,141
"Dřevíkovský, František",O předkrmech,1924,90
"Pospíšilová, Františka",Konservování ovoce a zeleniny,1924,40
"Vlasáková, Julie",Hodinové obědy,1924,99
"Podubická, Jarmila",Bezmasý jídelní lístek,1924,31
"Kejřová, Anuše",Minutové večeře,1924,46
"Rettigová, Magdalena Dobromila",Praktická kuchařka,1924,249
"Dřevíkovský, František",Český kuchař,1924,177
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1925,380
"Seidlová, Anastasie B.",Úsporná kuchařka,1925,138
"Štechová, Marie",Kuchařka,1925,482
"Štěpánek, Franta",Superheterodyn Radieta,1925,14
"Tichá, Božena",Nakládání a zavařování ovoce,1925,38
"Rettigová, Magdalena Dobromila",MD Rettigové Velká kuchařka,1925,1057
"Fechtnerová, Joza",Sbírka osvědčených domácích kuchařských receptů,1925,114
"Kejřová, Anuše",Zdravotní polovegetariánská kuchařka,1925,173
"Štechová, Marie",Kuchařka Marie Štechové,1925,482
"Bareš, Josef B.",Konservování pokrmů v pokrmových zásobnicích,1925,22
"Bareš, Josef B.",Konservování pokrmů v pokrmových zásobnicích,1925,28
"Hafner, M.",Vaření v přírodě,1925,70
"Jesenská, Milena",Mileniny recepty,1925,107
"Posnerová, Iška",Moučníky po domácku,1925,96
"Cmunt, Edvard",Dietní předpisy s návodem k domácím léčbám pitným prameny luhačovickými,1925,1
"Planíčková, Vojtěška",Magdalena Dobromila Rettigová,1925,15
,Kniha kuchařských předpisů,1925,773
"Kejřová, Anuše",Kniha vzorné domácnosti,1925,144
,Šotkova mezinárodní kuchařka,1926,236
"Hoferová, Božena",Nauka o vaření s rozpočty a kuchařskými předpisy,1926,331
"Manda, František",Zpracování ovoce a zeleniny v domácnosti,1926,66
"Kettner, Jan",Moučníkářka,1926,277
"Janků-Sandtnerová, Marie",Příručka pro vaření a nauku o potravinách pro občanské školy dívčí,1926,115
"Hapalová, Katuše",Kuchařka československé hospodyně,1926,236
"Orlová, Marie",Praktická kuchařka pro jednoduchou i zámožnou domácnost,1926,128
"Sirový, Václav",Příručka lékárnických specialit,1926,124
"Soukup, Václav",Praktická příručka při nakládání a zužitkování zeleniny,1926,290
"Souček, Stanislav",Kniha receptů od Jana staršího Kopřivy z let 1640-1641,1926,25
"Honzík, Martin",Sbírka receptů veterinární mediciny,1926,271
,Zlatá kniha Grand Hotelu Šroubek v Praze,1926,208
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1926,432
"Kejřová, Anuše",Úsporná kuchařka,1926,316
"Špaček, Stanislav",Americká úsporná kuchyně a zásady ekonomického řízení domácnosti,1927,30
"Štěpničková, Jarmila",Návody k zavařování ovoce zelenin masa a ryb v patentních zavařovacích sklenicích Inwald,1927,137
"Vrkočová, Božena",Dietní karlovarská kuchařka,1927,60
"Janků-Sandtnerová, Marie",Francouzská kuchyně,1927,90
"Kettner, Jan",Hygienická a dietní kuchyně,1927,116
,Kuchařka pro panenky,1927,39
"Zíbrt, Čeněk",Staročeské umění kuchařské,1927,660
"Kofránková, Anna",Kuchařské předpisy pro žákyně kuchařských škol i pro domácnost,1927,232
"Brillat-Savarin, Jean Anthelme",Fysiologie chuti,1927,261
"Kejřová, Anuše",Cukrovinky na vánoční stromek hostiny k jmeninám a jiným příležitostem,1927,62
"Voborská, Helena",Pravá česká kuchařka,1927,235
"Komárková, Marie Magdal.",Domácí úsporná kuchyně,1927,188
"Neff, Elisabeth",Rychlé vaření bez kuchyně,1928,70
"Seidlová, Anastasie B.",Kuchařka Lady,1928,191
,Odkolkovy recepty,1928,16
"Jírová, Květoslava",Rodinná kuchařka,1928,172
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1928,412
"Jarník, Karel J.",Uzenář,1928,142
"Váchal, Josef",Čarodějnická kuchyně,1928,1
"Kejřová, Anuše",Úsporná kuchařka,1928,331
,Suďte až okusíte,1928,217
"Höschlová-Přímá, Vilma",První česká přírodovědecká kuchařka dietetická,1928,542
,25 let Československého svazu kuchařů v Praze,1928,225
,Zavařování ovoce zeleniny masa,1929,16
"Šmattová, Anna",Nová reformní kuchařka,1929,229
"Tropschuh, H.",Kuchařská knížka jednoduché občanské kuchyně,1929,144
"Vavřinová, Josefa",Praktická a úsporná kuchařka,1929,45
"Seidlová, Anastasie B.",Malá domácnost československé hospodyňky,1929,327
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1929,407
"Brillat-Savarin, Jean Anthelme",Fysiologie chuti,1929,260
"Kadlec, Václav",Polévkové koření v Kuchařském umění a výživě lidu,1929,4
,Pečivo,1929,17
"Hapalová, Katuše",Kuchařka českoslov hospodyně,1930,254
"Pospíšilová, A.",Lidová kuchařka,1930,165
"Pospíšilová, A.",Zavařování ovoce a zeleniny,1930,88
,Předpisy pokrmů pro kursy výživy a vaření pořádané Čsl Červeným Křížem,1930,63
"Úlehlová-Tilschová, Marie",Moderní kuchařka,1930,138
"Voborská, Helena",Pravá česká kuchařka,1930,253
"Vrkočová, Božena",Dietní karlovarská kuchařka,1930,160
"Dolská, Vlasta",Nová kuchařka,1930,292
,Poděbradka jako voda stolní léčivá a dietní,1930,1
"Ševcová, Staša",Pražská kuchařka,1930,320
"Černá, Růžena",Kuchařská abeceda,1930,440
"Boučková, Marja",Večeře pro celý rok,1930,137
,Ryby a jejich úprava,1930,42
,Zátkova kuchařka,1930,136
,170 předpisů pokrmů pro kursy správné výživy,1930,64
,Více zeleniny a brambor do kuchyně,1930,44
"Suchánek, Jaroslav",Jak vařiti v přírodě,1930,93
"Kofránková, Anna",Kuchařské předpisy s použitím přípravků Kaja,1930,16
"Dolská, Vlasta",Nová kuchařka,1930,292
,Dra Oetkera prášek do zavařenin k zavařování ovoce a zeleniny,1930,32
"Píša, Alois",Moderní poznatky z oboru výroby masových konserv se zvláštním zřetelem k podmínkám stanoveným pro dodávku vojenských konserv u nás =,1931,228
"Wenig, Frank",Pohádky z naší kuchyně,1931,40
"Sirový, Václav",Příručka lékárnických specialit,1931,431
"Hostáň, Jan",V potoce svět uzřela u kuchařky umřela,1931,27
,Seznam léčivých specialit povolených ministerstvem veřejného zdravotnictví a tělesné výchovy ku všeobecnému prodeji,1931,98
"Vrabec, Vilém",Studená kuchyně,1931,120
,Novodobá kuchyně,1931,2
"Danielka, František",Vzorné řeznictví a uzenářství,1931,132
,Moderní kuchařka a vzorná hospodyně,1931,96
"Seidlová, Anastasie B.",Úsporná kuchařka,1932,389
"Vondráček, Vladimír",Otázka lékárnických specialit u nás,1932,27
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny--,1932,304
,Dagmar nejvýhodnější přístroje s příslušenstvím k zavařování a konservování,1932,29
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1932,463
,Nakládání ovoce a plodů,1932,17
"Reimann, Josef",Odborné cukrářské recepty a spisy od Josefa Reimanna,1932,279
"Stará, M.",Divadelní salát,1932,2
"Šmahelová, R.",Domácí pečivo jemné moučníky cukrovinky a dorty,1932,102
,Umění vařiti - tajemství dobré kuchyně,1932,15
"Štolovský, Ctibor",Jídelní lístek,1932,1
"Hostáň, Jan",V potoce svět uzřela u kuchařky umřela,1933,27
,Seznam léčivých specialit československé výroby,1933,144
,Stovka předpisů na polévky omáčky příkrmy z mléka másla smetany sýrů,1933,30
"Suchánek, Jaroslav",Kuchařské předpisy k levnému účelnému a zdraví prospěšnému upravení pokrmů,1933,260
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1933,449
"Carton, Paul",Dietetika a jednoduchá kuchyně,1933,352
"Boučková, Marja",Vejce a zelenina na náš stůl,1933,48
"Boučková, Marja",Zimní a vánoční kuchyně,1933,48
,200 předpisů pokrmů pro kursy správné výživy pořádané Čs Červeným křížem,1933,72
"Janků-Sandtnerová, Marie",Moučníky a zavařeniny,1933,57
"Jermářová, Bohumila",Malá vzorná kuchařka,1933,173
"Kejřová, Anuše",Česká vegetariánská kuchařka Anuše Kejřové,1933,155
"Kovářová, O.",Dietní kuchyně bez kvasnic octa koření a uměl tuků pro nemocné žaludkem žlučníkem krevním tlakem a pod,1933,77
"Mládek, Arnošt",Dieta u chorob cirkulačního aparátu,1933,10
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1933,449
"Smeykalová, Milada",Zavařování a nakládání ovoce,1933,39
"Jirková, Bettyna",Ryby a jejich úprava v kuchyni,1933,48
,Zavařeniny jamy a rosoly,1933,16
"Fričová, A.",Mariaž západu s východem,1933,29
"Steinblink, Leon Theodor Jan",Ovocné a bylinné likéry,1933,33
"Steinblink, Leon Theodor Jan",Ovocná vína stolní desertní likérová šumivá a jejich výroba v maloživnosti i v domácnosti,1933,64
"Teplá, Marie",Moučníky a sladkosti,1934,365
"Janků-Sandtnerová, Marie",Zeleniny a saláty,1934,85
"Kejřová, Anuše",Úsporná kuchařka,1934,349
"Hlouška, Josef",V době ztíženého vývozu hus - propagujme jejich uzení,1934,14
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1934,449
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných i levných pokrmů,1934,449
,Otázky učňovské pro odborné učitele zkušební komisaře a učně živnosti hostinské,1934,88
,Elektrická kuchyně,1934,75
"Kejř, Vilém Emil",Česká kuchařka,1934,128
,Elektrická kuchyně,1934,75
Ali-Bab,Labužnická kuchyně =,1935,811
"Baudyš, Eduard",Plíseň lociková čili salátová,1935,1
"Brož, Josef",Seznam léčivých specialit ministerstvem zdravotnictví ku všeobecnému prodeji povolených,1935,115
"Jabulka, J. V.",Lyrika z uzenářské kuchyně,1935,23
"Jírová, Květoslava",Rodinná kuchařka,1935,206
"Kejřová, Anuše",Česká vegetariánská kuchařka Anuše Kejřové,1935,154
"Kejřová, Anuše",České moučníky Anuše Kejřové,1935,213
"Kejřová, Anuše",Praktické a úsporné zavařování ovoce zeleniny příprava ovocných šťáv rosolů likérů vína atd,1935,95
"Koukl, Josef",Jak postupovat při nakládání píce bílkovinou bohaté,1935,5
,Farská kuchařka,1935,1
"Kunčík, Bedřich",Ilustrované cukrářské recepty,1935,144
,Osvědčené předpisy na levné a dobré moučníky,1935,8
,Příprava pokrmů,1935,31
,Příprava pokrmů,1935,30
,Příprava pokrmů,1935,32
"Sameš, Čeněk",Z historie vaření piva v Třebíči,1935,63
"Špilarová, Matilda",Domácí kuchařka,1935,115
"Viskup, Pavel",Lékař kuchařem,1935,116
"Vrabec, Vilém",Moučníky,1935,150
"Vrabec, Vilém",Studená kuchyně,1935,148
,Co jest to lehká dietní strava při nemocech,1935,16
,Dietetická kuchyně,1935,32
"Macháčková, Libuše",Kuchařské praktikum,1935,201
,Prospekt odb kursů Moučníků a Studené kuchyně,1935,1
,Seznam léčivých specialit povolených ministerstvem veřejného zdravotnictví a tělesné výchovy ke všeobecnému prodeji,1935,132
"Koblic, Josef",Chléb a pečivo pro diabetiky,1935,33
"Koblic, Josef",Žitná káva a žitné konservy,1935,21
"Dřevíkovský, František",Kuchařský rádce pro kuchyně soukromé restaurační a školy hospodyňské,1935,468
"Podzimková-Rieglová, Marie",Jídelní lístky dnešní doby,1935,16
"Langer, Ladislav",Znamenitý salát od podzimu do jara z čekanky,1935,30
"Úlehlová-Tilschová, Marie",Jak a čím se živit,1935,2
,Dobové předpisy na pečení na přípravu krémů a zmrzliny na zavařování ovoce a na rychlou přípravu marmelád a ovocných rosolů,1936,16
"Beneš, Mojmír A.",Návod jak připraviti mládež k hodnému přijetí svátosti Večeře Páně,1936,16
"Černá, Růžena",Kuchařské předpisy k přípravě nejrůznějších chutných výživných a i levných jídel pečiva zelenin salátů zavařenin a nápojů,1936,215
"Janišová, Božena",Vyzkoušené recepty medového pečiva,1936,23
"Jung, Jindřich",Jak se naučím vařit chutné zdravé a levné pokrmy,1936,89
"Koukl, Josef",Jak postupovati při nakládání píce bílkovinou bohaté,1936,11
,Haasova kuchařka,1936,32
,Elektrická kuchyně,1936,82
,Prospekt odb kursů Studené kuchyně a Moučníků,1936,1
"Vrabec, Vilém",Teplá kuchyně,1936,194
,Kuchař labužník,1936,2
,Kuchařská a hospodyňská kniha správné výživy a hospodaření v dnešní době,1936,46
"Boučková, Marie",Moučníky a pochoutky z ovoce,1936,47
"Schneider, Josef",Věda v kuchyni,1937,166
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním k bezpečné přípravě dobrých chutných a levných pokrmů,1937,609
"Janků-Sandtnerová, Marie",Kniha rozpočtů a kuchařských předpisů všem hospodyním,1937,609
"Jelínková, Marie",Učebnice vaření pro vyšší třídy škol obecných a pro školy měšťanské,1937,184
,Kuchyně,1937,12
,Nová dietní kuchyně pro diabetiky D-Sojasan Dieta v městě a v Karlových Varech,1937,15
"Nyč, František",Sbírka receptů desertních bonbonů a popis práce při máčení na síťkách,1937,15
,Peka prášek do pečiva na 50 dkg mouky vyrábí Merkur továrna na čokoládu cukrovinky a pečivo as v Č Budějovicích,1937,17
"Polášek Topol, Štěpán",Recepty na duševní pokrmy pro mládež,1937,20
